id,EAP,HPL,MWS
id02310,0.024894547,0.010688578,0.96441686
id24541,0.9985067,0.0011962675,0.0002970037
id00134,0.0197852,0.97750217,0.0027126682
id27757,0.84268117,0.15344514,0.003873696
id04081,0.935286,0.036878437,0.027835565
id27337,0.8562482,0.12641157,0.017340224
id24265,0.7428637,0.24268225,0.014454064
id25917,0.0061870404,0.12874852,0.86506444
id04951,0.9867546,0.012077028,0.0011683458
id14549,0.8088941,0.06649333,0.1246126
id22505,0.022685718,0.012745082,0.9645693
id24002,0.0022548032,0.9970956,0.00064963073
id18982,0.1084087,0.7721039,0.11948737
id15181,0.0010123176,0.9988796,0.00010806026
id21888,0.5644604,0.083973475,0.35156617
id12035,0.0020979461,6.625728e-05,0.9978358
id17991,0.47096083,0.013117176,0.515922
id10707,0.9994048,0.00046770158,0.00012749343
id07101,0.23987614,0.01771019,0.7424137
id00345,0.047741465,0.9341914,0.018067159
id05912,0.9690449,0.022119805,0.00883532
id13443,0.97460157,0.01627326,0.009125155
id09248,0.3267293,0.08067464,0.59259605
id17542,0.07303144,0.8888688,0.038099688
id06995,0.16405296,0.001273693,0.83467335
id25159,0.712862,0.077223785,0.2099142
id25729,0.37245095,0.6158397,0.011709369
id26949,0.9831072,0.008556971,0.008335799
id27191,0.23819,0.02825239,0.73355764
id07668,0.46102005,0.0042648404,0.5347151
id02230,0.036464542,0.3571128,0.60642266
id15553,0.9952899,0.0019507105,0.0027593772
id25688,0.0038142372,0.9949384,0.0012474437
id17545,0.9949597,0.0033147123,0.0017255461
id13929,0.44527856,0.41729766,0.13742377
id12880,0.069305465,0.92414933,0.006545202
id19282,0.5795653,0.13470002,0.28573465
id14690,0.01214435,0.00345044,0.9844052
id17975,0.0040619504,0.9950694,0.00086863403
id08037,0.8828754,0.007508707,0.10961584
id15412,0.067398116,0.0080431225,0.9245588
id25032,0.707196,0.081224464,0.21157955
id27165,0.99923813,0.0004523856,0.0003094989
id03327,0.7498223,0.15906484,0.09111286
id18515,0.9889129,0.004026035,0.007061055
id21003,0.046352953,0.03179976,0.92184734
id23855,0.0013292601,0.9849434,0.013727411
id20724,0.6121813,0.18879,0.19902866
id13303,0.923282,0.01878992,0.057928048
id16521,0.0034799182,0.72454625,0.27197388
id20775,0.9989171,0.000531068,0.0005518788
id13029,0.9969543,0.002397064,0.00064855075
id14660,0.5905228,0.3758351,0.033642113
id11028,0.002751058,0.00022904886,0.9970198
id14180,0.9851835,0.0132801095,0.0015363903
id25860,0.9982175,0.00067859626,0.0011039018
id11910,0.16004993,0.002911711,0.8370384
id08065,0.11057578,0.010115875,0.87930834
id22674,0.011968089,0.0025764843,0.98545545
id25018,0.4038048,0.014937037,0.5812582
id10892,0.0002877797,0.99951684,0.00019543756
id10217,0.157366,0.83690405,0.005729931
id12996,0.22740892,0.20293161,0.5696595
id18262,0.3736278,0.54269445,0.08367777
id08606,0.0010038422,0.9983889,0.0006073472
id17233,0.9062337,0.01030009,0.0834662
id00101,0.50868946,0.39079165,0.100518905
id12225,0.93624705,0.033188377,0.030564606
id01364,0.0028891722,0.9953087,0.0018020897
id24973,0.58401936,0.031278957,0.38470167
id25363,0.53446805,0.00049333926,0.4650386
id10061,0.49175942,0.011482816,0.49675775
id17673,0.07082299,0.8748177,0.05435931
id13249,0.4739439,0.046499863,0.4795562
id10107,0.0048008896,0.0020108745,0.99318826
id04403,0.9908268,0.0028478757,0.006325339
id25728,0.89949965,0.018429518,0.082070805
id16184,0.7405917,0.046630543,0.21277781
id03438,0.002116757,0.0002253073,0.9976579
id22923,0.004080726,0.995555,0.00036434503
id08610,0.9973635,0.00088053494,0.0017559121
id25355,0.09955106,0.013070937,0.88737804
id16916,0.46003437,0.50964653,0.030319074
id12793,0.0053908615,0.9935939,0.0010152223
id11859,0.565214,0.010198798,0.42458725
id02434,0.9875223,0.011313855,0.0011638225
id27703,0.0037947942,0.0008120772,0.99539316
id25212,0.0032246297,0.99617815,0.0005972778
id11308,0.13405102,0.19332281,0.6726262
id26094,0.91552836,0.071318604,0.01315309
id22080,0.843629,0.15317209,0.0031989652
id03545,0.995155,0.004648752,0.00019629138
id23725,0.003634891,0.0066865855,0.9896785
id12009,0.7793411,0.1626407,0.058018137
id24241,0.29192787,0.030278496,0.6777936
id03596,0.004332723,0.993694,0.0019732313
id10749,0.027634103,0.96494937,0.007416534
id22794,0.0036620188,0.0053327964,0.9910052
id15482,0.05023393,0.8990066,0.050759513
id04833,0.9077302,0.07960589,0.012663891
id00397,0.01082097,0.0009721113,0.9882069
id14691,0.0021807146,0.000285552,0.9975337
id05193,0.37987712,0.008468179,0.6116547
id19541,0.9761462,0.0025830762,0.021270756
id22166,0.005702689,0.0028949874,0.9914023
id20744,0.007897227,0.0008829903,0.9912198
id10392,0.0038202489,0.00016120695,0.9960186
id00770,0.96140695,0.029064482,0.009528559
id06018,0.72497916,0.23739088,0.037629936
id15678,0.26833043,0.0034779208,0.7281916
id08305,0.931337,0.048095487,0.020567566
id08903,0.340491,0.06630135,0.59320766
id14752,0.08638189,0.90880835,0.0048097624
id12468,0.0011304016,0.99848264,0.00038693188
id05085,0.2624831,0.710615,0.026901912
id21993,0.43950427,0.0043141716,0.55618155
id15503,0.90860397,0.07397617,0.017419841
id03021,0.00047104142,0.9992029,0.00032605065
id16123,0.99436283,0.005018163,0.00061904616
id19383,0.99640465,0.00266451,0.00093083316
id04186,0.9993801,0.00037932477,0.00024054585
id17954,0.001662612,0.00049893395,0.99783844
id12030,0.3729529,0.0149388,0.6121083
id13020,0.6341575,0.3553193,0.010523196
id25327,0.012605009,0.93841016,0.04898484
